Time,Volume,Open,High,Low,Close
2020-05-14T01:59:50.000000000Z,1,7.75103,7.75103,7.75103,7.75103
2020-05-14T02:00:00.000000000Z,2,7.75104,7.75104,7.75104,7.75104
2020-05-14T02:00:20.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:00:30.000000000Z,2,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:01:05.000000000Z,2,7.75102,7.75102,7.75100,7.75100
2020-05-14T02:02:00.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:03:45.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:04:05.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:04:30.000000000Z,3,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:04:40.000000000Z,1,7.75101,7.75101,7.75101,7.75101
2020-05-14T02:04:50.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:05:05.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:05:10.000000000Z,4,7.75102,7.75102,7.75100,7.75100
2020-05-14T02:05:35.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:05:50.000000000Z,4,7.75100,7.75100,7.75098,7.75098
2020-05-14T02:06:00.000000000Z,1,7.75097,7.75097,7.75097,7.75097
2020-05-14T02:06:25.000000000Z,1,7.75097,7.75097,7.75097,7.75097
2020-05-14T02:06:30.000000000Z,1,7.75099,7.75099,7.75099,7.75099
2020-05-14T02:07:10.000000000Z,1,7.75101,7.75101,7.75101,7.75101
2020-05-14T02:07:35.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T02:07:45.000000000Z,2,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:07:55.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:08:00.000000000Z,4,7.75100,7.75100,7.75096,7.75096
2020-05-14T02:08:05.000000000Z,2,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:08:45.000000000Z,2,7.75098,7.75098,7.75098,7.75098
2020-05-14T02:09:15.000000000Z,2,7.75096,7.75098,7.75096,7.75098
2020-05-14T02:09:20.000000000Z,4,7.75098,7.75098,7.75096,7.75097
2020-05-14T02:09:35.000000000Z,2,7.75096,7.75097,7.75096,7.75097
2020-05-14T02:10:25.000000000Z,5,7.75097,7.75098,7.75096,7.75096
2020-05-14T02:10:50.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:11:00.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:11:05.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:11:15.000000000Z,2,7.75098,7.75098,7.75096,7.75096
2020-05-14T02:12:05.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:12:55.000000000Z,2,7.75098,7.75098,7.75098,7.75098
2020-05-14T02:13:05.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T02:13:10.000000000Z,2,7.75100,7.75102,7.75100,7.75102
2020-05-14T02:13:40.000000000Z,2,7.75100,7.75100,7.75098,7.75098
2020-05-14T02:14:05.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T02:14:15.000000000Z,9,7.75096,7.75096,7.75085,7.75085
2020-05-14T02:14:45.000000000Z,1,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:14:55.000000000Z,3,7.75086,7.75088,7.75086,7.75086
2020-05-14T02:15:55.000000000Z,3,7.75086,7.75088,7.75086,7.75088
2020-05-14T02:16:00.000000000Z,2,7.75089,7.75089,7.75088,7.75088
2020-05-14T02:16:20.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:16:30.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:16:35.000000000Z,2,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:22:55.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:28:50.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:30:05.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:30:15.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:32:45.000000000Z,1,7.75092,7.75092,7.75092,7.75092
2020-05-14T02:33:05.000000000Z,2,7.75091,7.75091,7.75091,7.75091
2020-05-14T02:35:05.000000000Z,1,7.75091,7.75091,7.75091,7.75091
2020-05-14T02:40:35.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:42:05.000000000Z,2,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:42:15.000000000Z,1,7.75091,7.75091,7.75091,7.75091
2020-05-14T02:42:30.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:43:15.000000000Z,1,7.75091,7.75091,7.75091,7.75091
2020-05-14T02:43:30.000000000Z,1,7.75090,7.75090,7.75090,7.75090
2020-05-14T02:44:00.000000000Z,1,7.75088,7.75088,7.75088,7.75088
2020-05-14T02:44:10.000000000Z,1,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:45:05.000000000Z,1,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:45:40.000000000Z,2,7.75086,7.75086,7.75084,7.75084
2020-05-14T02:45:50.000000000Z,3,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:46:05.000000000Z,1,7.75085,7.75085,7.75085,7.75085
2020-05-14T02:46:10.000000000Z,1,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:46:20.000000000Z,1,7.75086,7.75086,7.75086,7.75086
2020-05-14T02:46:30.000000000Z,3,7.75086,7.75086,7.75082,7.75082
2020-05-14T02:46:35.000000000Z,1,7.75083,7.75083,7.75083,7.75083
2020-05-14T02:46:55.000000000Z,1,7.75082,7.75082,7.75082,7.75082
2020-05-14T02:48:00.000000000Z,1,7.75084,7.75084,7.75084,7.75084
2020-05-14T02:48:10.000000000Z,1,7.75084,7.75084,7.75084,7.75084
2020-05-14T02:49:55.000000000Z,1,7.75084,7.75084,7.75084,7.75084
2020-05-14T02:50:10.000000000Z,1,7.75084,7.75084,7.75084,7.75084
2020-05-14T02:50:40.000000000Z,1,7.75082,7.75082,7.75082,7.75082
2020-05-14T02:51:40.000000000Z,2,7.75081,7.75081,7.75080,7.75080
2020-05-14T02:51:45.000000000Z,1,7.75081,7.75081,7.75081,7.75081
2020-05-14T02:51:50.000000000Z,13,7.75080,7.75080,7.75064,7.75064
2020-05-14T02:51:55.000000000Z,1,7.75067,7.75067,7.75067,7.75067
2020-05-14T02:52:05.000000000Z,11,7.75069,7.75075,7.75067,7.75068
2020-05-14T02:52:10.000000000Z,6,7.75068,7.75073,7.75068,7.75073
2020-05-14T02:52:15.000000000Z,4,7.75072,7.75072,7.75070,7.75071
2020-05-14T02:52:20.000000000Z,3,7.75070,7.75070,7.75067,7.75067
